Date,Price
2016-04-08,520
2016-04-06,517.07
2016-04-04,510
2016-04-01,510
2016-03-31,505
2016-03-30,505
2016-03-24,505.01
2016-03-22,505.24
2016-03-18,515.14
2016-03-16,505
2016-03-15,505.01
2016-03-14,511.03
2016-03-11,505
2016-03-10,505.01
2016-03-09,503.05
2016-03-08,500
2016-03-07,500
2016-03-04,500.26
2016-03-03,499.75
2016-03-01,505
2016-02-25,500.01
2016-02-24,500.03
2016-02-22,515.11
2016-02-19,514.36
2016-02-17,495.01
2016-02-16,501.58
2016-02-15,495
2016-02-09,495
2016-02-08,498.91
2016-02-05,495
2016-02-04,499.47
2016-02-03,499.99
2016-02-02,500
2016-01-29,499.69
2016-01-28,491.49
2016-01-27,490.04
2016-01-25,490.06
2016-01-21,490
2016-01-20,490
2016-01-19,490
2016-01-18,489.17
2016-01-15,479.71
2016-01-14,486.94
2016-01-13,490.01
2016-01-12,490
2016-01-11,495
2016-01-07,500
2016-01-05,493.97
2016-01-04,495.19
2015-12-30,500
2015-12-29,500.55
2015-12-28,501.8
2015-12-23,500
2015-12-22,505.45
2015-12-21,506.02
2015-12-18,508.22
2015-12-17,500.04
2015-12-16,500
2015-12-15,500
2015-12-14,499.99
2015-12-11,492.61
2015-12-10,492.54
2015-12-08,509.37
2015-12-07,495.01
2015-12-04,475.97
2015-12-02,475.29
2015-11-25,494.91
2015-11-23,480.11
2015-11-20,485.49
2015-11-19,485.3
2015-11-17,497.02
2015-11-13,497.1
2015-11-12,501.69
2015-11-11,507.19
2015-11-10,502.78
2015-11-09,504.82
2015-11-06,485.58
2015-11-04,490.03
2015-11-03,490.04
2015-11-02,500.35
2015-10-30,499.8
2015-10-29,490.29
2015-10-28,481.02
2015-10-26,488.63
2015-10-23,481.58
2015-10-21,484.59
2015-10-20,497.87
2015-10-16,499.97
2015-10-15,499.89
2015-10-14,482.62
2015-10-13,500.31
2015-10-12,499.58
2015-10-09,499.65
2015-10-07,496.89
2015-10-06,460.14
2015-10-02,449.4
2015-10-01,442.01
2015-09-30,444.38
2015-09-29,430.72
2015-09-28,436
2015-09-24,441.47
2015-09-23,450
2015-09-22,450
2015-09-21,450.02
2015-09-18,449.97
2015-09-16,450
2015-09-15,449.99
2015-09-14,449.22
2015-09-11,449.23
2015-09-09,449.9
2015-09-08,431.72
2015-09-02,455.25
2015-09-01,455.55
2015-08-31,457.54
2015-08-28,458.72
2015-08-25,474.99
2015-08-24,456.44
2015-08-20,479.53
2015-08-17,490
2015-08-13,499.99
2015-08-12,500.25
2015-08-11,498.85
2015-08-10,474.11
2015-08-07,466.98
2015-08-06,462
2015-08-04,460.17
2015-08-03,458.37
2015-07-29,459.11
2015-07-28,460.05
2015-07-24,462.32
2015-07-23,464.45
2015-07-21,458.25
2015-07-20,460.5
2015-07-17,441.52
2015-07-16,440.04
2015-07-15,440.05
2015-07-13,440.02
2015-07-09,436
2015-07-07,445
2015-07-06,430
2015-07-03,438.63
2015-07-01,440
2015-06-30,444.38
2015-06-29,431.34
2015-06-23,440.97
2015-06-15,425.96
2015-06-12,405.02
2015-06-11,404.29
2015-06-10,414.99
2015-06-09,408.52
2015-06-08,417.5
2015-06-03,415
2015-06-01,415.18
2015-05-29,406.07
2015-05-27,410
2015-05-25,403.02
2015-05-21,401.01
2015-05-18,405.33
2015-05-15,410
2015-05-13,415
2015-05-12,405.06
2015-05-08,404.02
2015-05-07,414.21
2015-05-06,415.03
2015-05-05,415.03
2015-04-30,415.12
2015-04-29,420.96
2015-04-28,420.04
2015-04-27,420.11
2015-04-20,433.58
2015-04-17,430
2015-04-16,425.79
2015-04-15,420.19
2015-04-14,420
2015-04-13,413.33
2015-04-10,397.12
2015-04-09,403.59
2015-04-08,403.51
2015-04-07,420
2015-04-02,402.01
2015-04-01,402.41
2015-03-31,430
2015-03-30,420
2015-03-27,427.1
2015-03-25,431.27
2015-03-23,445.36
2015-03-20,457.72
2015-03-19,450.11
2015-03-18,444.38
2015-03-16,433.28
2015-03-10,428.01
2015-03-09,432
2015-03-06,430.01
2015-03-04,434.61
2015-03-03,454.98
2015-03-02,433.96
2015-02-25,436
2015-02-24,425.38
2015-02-23,454.13
2015-02-20,449.96
2015-02-19,426.67
2015-02-18,420.15
2015-02-16,417.51
2015-02-13,427.01
2015-02-12,432.58
2015-02-11,433.67
2015-02-10,436.07
2015-02-06,438.58
2015-02-05,458.95
2015-02-03,482.15
2015-02-02,506.11
2015-01-30,514.95
2015-01-29,505
2015-01-28,502.66
2015-01-27,514.69
2015-01-26,513.27
2015-01-23,520.02
2015-01-22,518.07
2015-01-21,510
2015-01-19,510
2015-01-16,505.06
2015-01-14,506.33
2015-01-13,526.98
2015-01-12,526.99
2015-01-09,518.33
2015-01-08,508.81
2015-01-07,507.16
2015-01-05,500.07
2015-01-02,488
2014-12-31,496.97
2014-12-30,484.72
2014-12-29,495.99
2014-12-23,492.08
2014-12-22,486.11
2014-12-19,501.67
2014-12-18,505.81
2014-12-17,504.03
2014-12-16,503.1
2014-12-15,490.23
2014-12-12,490
2014-12-10,494.04
2014-12-09,496.04
2014-12-08,500.66
2014-12-05,512.55
2014-12-04,513.02
2014-12-03,515.15
2014-12-02,516.91
2014-12-01,521.49
2014-11-28,525.31
2014-11-27,530.71
2014-11-26,536
2014-11-24,539.09
2014-11-20,540
2014-11-19,536.7
2014-11-18,532.2
2014-11-17,530.53
2014-11-14,531.95
2014-11-13,530.19
2014-11-10,544.58
2014-11-07,528.64
2014-11-06,521
2014-11-05,520.77
2014-11-04,504.8
2014-11-03,505.54
2014-10-31,505.51
2014-10-30,510
2014-10-29,511.67
2014-10-28,517.83
2014-10-27,522.28
2014-10-24,504.69
2014-10-23,513.5
2014-10-22,520.23
2014-10-21,529.12
2014-10-20,521.18
2014-10-17,460.68
2014-10-16,459.82
2014-10-15,442.1
2014-10-14,440.81
2014-10-13,448.89
2014-10-10,480.26
2014-10-09,500.38
2014-10-07,504.6
2014-10-06,502.91
2014-10-03,521.74
2014-10-02,520.03
2014-10-01,491.35
2014-09-30,479.01
2014-09-29,494.46
2014-09-26,510.53
2014-09-25,525.83
2014-09-24,529.7
2014-09-23,526.49
2014-09-22,521.81
2014-09-19,475.62
2014-09-18,485.53
2014-09-17,430.57
2014-09-16,419.88
2014-09-15,435.37
2014-09-12,486.24
2014-09-11,521.25
2014-09-10,538.84
2014-09-09,542.96
2014-09-08,544.22
2014-09-05,530.99
2014-09-04,535.26
2014-09-03,520.97
2014-09-02,529.39
2014-09-01,531.9
2014-08-28,555.43
2014-08-27,563.42
2014-08-26,569.51
2014-08-25,565.12
2014-08-22,566.65
2014-08-21,575.8
2014-08-20,577.04
2014-08-19,586.46
2014-08-18,568.08
2014-08-14,552
2014-08-13,549.53
2014-08-12,553.97
2014-08-11,571.87
2014-08-08,599.49
2014-08-07,600.04
2014-08-06,605.05
2014-08-04,623.1
2014-08-01,601.04
2014-07-31,575.47
2014-07-30,525.04
2014-07-28,459.21
2014-07-25,448.31
2014-07-24,462.76
2014-07-23,430.65
2014-07-22,430.5
2014-07-21,414.03
2014-07-18,399.25
2014-07-17,390.61
2014-07-16,388.11
2014-07-15,390
2014-07-14,390
2014-07-11,382.84
2014-07-10,382.24
2014-07-08,390
2014-07-07,391.57
2014-07-03,388.07
2014-07-02,387.59
2014-07-01,368.71
2014-06-27,395.46
2014-06-26,393.11
2014-06-20,389.16
2014-06-18,357.08
2014-06-17,374.39
2014-06-16,391.45
2014-06-10,378.29
2014-06-09,376.96
2014-06-06,368.95
2014-06-05,354.3
2014-06-04,369.99
2014-06-03,370
2014-06-02,363.01
2014-05-30,357
2014-05-29,340.21
2014-05-21,332.5
2014-05-20,329
2014-05-15,320
2014-05-13,334.91
2014-05-12,342.46
2014-05-09,349.52
2014-05-08,350
2014-05-07,349.51
2014-05-02,356.56
2014-04-30,355.8
2014-04-25,360.8
2014-04-22,350
2014-04-18,357.99
2014-04-16,356.36
2014-04-15,360.95
2014-04-14,355.66
2014-04-11,360.99
2014-04-09,367.54
2014-04-07,369.86
2014-04-02,375
2014-04-01,360
2014-03-31,365.55
2014-03-28,369.91
2014-03-26,372.71
2014-03-25,367.36
2014-03-24,350.39
2014-03-21,350.73
2014-03-20,367.86
2014-03-19,367.86
2014-03-18,363.34
2014-03-14,350.93
2014-03-13,362.34
2014-03-12,356.61
2014-03-11,365.2
2014-03-10,375.17
2014-03-07,372.71
2014-03-06,369.49
2014-03-05,356.54
2014-03-04,325.03
2014-03-03,318.19
2014-02-28,318.12
2014-02-27,311.51
2014-02-26,317.5
2014-02-25,319.67
2014-02-24,316.97
2014-02-21,314.91
2014-02-20,302.83
2014-02-18,290.25
2014-02-17,303.66
2014-02-14,296.65
2014-02-13,287
2014-02-12,285
2014-02-11,291.57
2014-02-10,293.11
2014-02-07,287.4
2014-02-06,278.03
2014-02-05,273.97
2014-02-04,269.37
2014-02-03,267.63
2014-01-31,260.94
2014-01-30,261.19
2014-01-29,264.93
2014-01-28,266.37
2014-01-27,268.72
2014-01-24,278.33
2014-01-23,278.87
2014-01-22,271.29
2014-01-21,260.03
2014-01-20,272.48
2014-01-17,269.96
2014-01-16,262.65
2014-01-14,240.12
2014-01-13,249.57
2014-01-10,241.2
2014-01-08,248.98
2014-01-07,249.73
2014-01-02,247.97
2013-12-30,241.5
2013-12-27,235.67
2013-12-20,247.05
2013-12-19,240.89
2013-12-18,233.21
2013-12-17,237.6
2013-12-16,239.23
2013-12-13,243.79
2013-12-12,241.57
2013-12-11,230.67
2013-12-10,221.07
2013-12-09,225.08
2013-12-06,222.19
2013-12-05,224.79
2013-12-04,224.47
2013-12-03,220.66
2013-12-02,207.39
2013-11-28,212.81
2013-11-27,208
2013-11-26,209.93
2013-11-25,210.64
2013-11-21,208.53
2013-11-20,217.14
2013-11-19,208.43
2013-11-18,209.22
2013-11-14,207.78
2013-11-13,213.54
2013-11-11,220.06
2013-11-06,219.14
2013-11-04,221.87
2013-10-31,220.01
2013-10-30,218.65
2013-10-29,224.49
2013-10-28,217.01
2013-10-22,224.03
2013-10-18,222.23
2013-10-16,214.46
2013-10-10,215.05
2013-10-09,222
2013-10-07,216.09
2013-10-04,224.82
2013-10-03,224
2013-10-02,216.43
2013-10-01,220
2013-09-30,221.79
2013-09-27,218.85
2013-09-26,222.23
2013-09-23,232.9
2013-09-20,230.54
2013-09-19,215.58
2013-09-18,218
2013-09-17,216.26
2013-09-16,220.02
2013-09-13,220.31
2013-09-11,224.37
2013-09-06,221.69
2013-09-04,227.44
2013-08-27,233
2013-08-26,235.83
2013-08-22,239.8
2013-08-20,239.47
2013-08-19,230.14
2013-08-16,225
2013-08-14,233.16
2013-08-13,221.57
2013-08-12,208.35
2013-08-09,208.7
2013-08-08,204
2013-08-07,204
2013-08-06,202.97
2013-08-02,204
2013-08-01,200.75
2013-07-31,196.57
2013-07-23,200.6
2013-07-19,200.58
2013-07-18,200.13
2013-07-16,201.45
2013-07-15,203.1
2013-07-11,208.06
2013-07-10,207
2013-07-05,207
2013-07-04,205.43
2013-07-03,205
2013-07-02,205
2013-07-01,202.45
2013-06-26,199.97
2013-06-21,195.02
2013-06-20,195.02
2013-06-19,195.1
2013-06-18,197
2013-06-17,195.01
2013-06-13,195.59
2013-06-11,191.36
2013-06-07,187
2013-06-06,187
2013-06-05,190.3
2013-06-03,189.01
2013-05-29,197.85
2013-05-28,194
2013-05-27,194
2013-05-23,194
2013-05-22,194
2013-05-21,196
2013-05-17,191.27
2013-05-16,195
2013-05-09,190.58
2013-05-08,199.99
2013-05-03,197.86
2013-04-26,200.06
2013-04-24,189.96
2013-04-18,185
2013-04-15,186.34
2013-04-12,182.49
2013-04-11,183.42
2013-04-10,183.65
2013-04-08,191.98
2013-04-04,182.1
2013-04-03,190
2013-03-29,189.27
2013-03-28,187.58
2013-03-27,184.9
2013-03-26,187.39
2013-03-25,183.9
