,Cestovni,Željeznički,Riječni,Pomorski,Zračni,UKUPNO
2022-06-23,53536,20,0,60,2941,56557
2022-06-24,58653,58,0,61,2617,61389
2022-06-25,62970,45,1,8,1812,64836
2022-06-26,73863,45,0,124,2649,76681
2022-06-27,58624,35,0,41,2746,61446
2022-06-28,45992,51,0,146,2496,48685
2022-06-29,49867,32,1,18,2071,51989
2022-06-30,49638,33,0,74,2181,51926
2022-07-01,57989,28,0,30,2334,60381
2022-07-02,60642,124,1,57,1950,62774
2022-07-03,66365,76,0,64,2578,69083
2022-07-04,57593,37,0,34,2654,60318
2022-07-05,48279,42,0,63,1663,50047
2022-07-06,63471,91,0,31,2012,65605
2022-07-07,53623,52,0,34,1602,55311
2022-07-08,71430,99,1,92,2215,73837
2022-07-09,67846,70,1,60,1755,69732
2022-07-10,62236,139,0,89,2271,64735
2022-07-11,56939,80,0,54,2081,59154
2022-07-12,63206,92,0,111,1965,65374
2022-07-13,56780,83,1,50,1650,58564
2022-07-14,62046,70,0,53,2167,64336
2022-07-15,69839,129,1,79,2179,72227
2022-07-16,72698,122,0,65,1954,74839
2022-07-17,66858,74,0,65,2185,69182
2022-07-18,55171,99,0,75,2385,57730
2022-07-19,53142,53,0,89,2287,55571
2022-07-20,63802,36,0,108,2177,66123
2022-07-21,55196,22,0,63,1909,57190
2022-07-22,60642,122,0,51,2592,63407
2022-07-23,79734,259,13,78,1820,81904
2022-07-24,65320,70,0,146,2244,67780
2022-07-25,60445,23,0,51,2291,62810
2022-07-26,57299,42,0,105,2286,59732
2022-07-27,57969,62,0,78,1791,59900
2022-07-28,60921,51,0,88,2036,63096
2022-07-29,77658,57,0,71,2254,80040
2022-07-30,79167,197,1,86,2004,81455
2022-07-31,82674,121,0,111,2384,85290
